0,idle,idle,[],[]
2024-05-18 06:52:26.507019,idle,idle,
2024-05-18 06:52:27.276240,idle,idle,
2024-05-18 06:52:27.938488,idle,idle,
2024-05-18 06:54:06.909476,Down,C,
2024-05-18 06:54:07.767375,Down,C,
2024-05-18 06:54:08.303792,Down,C,
2024-05-18 06:54:10.346982,Down,D,
2024-05-18 06:54:10.918846,Down,D,
2024-05-18 06:54:12.404656,Down,D,
2024-05-18 06:54:15.565653,Down,D,
2024-05-18 06:54:18.607814,Left,idle,
2024-05-18 06:54:19.871985,Up,idle,
2024-05-18 06:54:20.170042,Up,idle,
2024-05-18 06:54:20.670741,Up,idle,
2024-05-18 06:54:37.354916,Left,idle,
2024-05-18 06:54:37.882305,Left,idle,
2024-05-18 06:54:38.408672,Left,idle,
2024-05-18 06:54:38.908184,Left,idle,
2024-05-18 06:54:39.452104,Left,idle,
2024-05-18 06:54:39.946658,Left,idle,
2024-05-18 06:54:40.490038,Left,idle,
2024-05-18 06:54:41.020310,Left,idle,
2024-05-18 06:54:41.518428,Left,idle,
2024-05-18 06:54:42.048232,Left,idle,
2024-05-18 06:54:42.759432,idle,idle,
2024-05-18 06:54:43.249769,idle,idle,
2024-05-18 06:54:43.725138,idle,idle,
2024-05-18 06:54:44.287768,idle,idle,
2024-05-18 06:54:44.740464,idle,idle,
2024-05-18 06:54:45.258137,idle,idle,
2024-05-18 06:54:45.789227,idle,idle,
2024-05-18 06:54:46.287169,idle,idle,
2024-05-18 06:54:48.454747,Down,E,
2024-05-18 06:54:49.182347,Down,E,
2024-05-18 06:54:52.426167,Right,idle,
2024-05-18 06:54:53.020399,Right,idle,
2024-05-18 06:54:53.511325,Right,idle,
2024-05-18 06:54:54.070715,Right,idle,
2024-05-18 06:54:54.571951,Right,idle,
2024-05-18 06:54:55.066851,Right,idle,
2024-05-18 06:54:55.588794,Right,idle,
2024-05-18 06:54:56.086425,Right,idle,
2024-05-18 06:54:56.997616,idle,idle,
2024-05-18 06:54:57.533532,idle,idle,
2024-05-18 06:54:58.017381,idle,idle,
2024-05-18 06:54:58.551427,idle,idle,
2024-05-18 06:54:59.063105,idle,idle,
2024-05-18 06:54:59.583883,idle,idle,
2024-05-18 06:55:01.470294,Down,E,
2024-05-18 06:55:02.138003,Down,E,
